Fecha,Capacidad acumulada [MW],FUENTE DE ENERGIA
27/12/1925,1.8,PLANTA HIDRÁULICA
28/12/1925,1.8,PLANTA HIDRÁULICA
29/12/1925,1.8,PLANTA HIDRÁULICA
30/12/1925,1.8,PLANTA HIDRÁULICA
31/12/1925,1.8,PLANTA HIDRÁULICA
1/01/1926,1.8,PLANTA HIDRÁULICA
2/01/1926,1.8,PLANTA HIDRÁULICA
3/01/1926,1.8,PLANTA HIDRÁULICA
4/01/1926,1.8,PLANTA HIDRÁULICA
5/01/1926,1.8,PLANTA HIDRÁULICA
6/01/1926,1.8,PLANTA HIDRÁULICA
7/01/1926,1.8,PLANTA HIDRÁULICA
8/01/1926,1.8,PLANTA HIDRÁULICA
9/01/1926,1.8,PLANTA HIDRÁULICA
10/01/1926,1.8,PLANTA HIDRÁULICA
11/01/1926,1.8,PLANTA HIDRÁULICA
12/01/1926,1.8,PLANTA HIDRÁULICA
13/01/1926,1.8,PLANTA HIDRÁULICA
14/01/1926,1.8,PLANTA HIDRÁULICA
15/01/1926,1.8,PLANTA HIDRÁULICA
16/01/1926,1.8,PLANTA HIDRÁULICA
17/01/1926,1.8,PLANTA HIDRÁULICA
18/01/1926,1.8,PLANTA HIDRÁULICA
19/01/1926,1.8,PLANTA HIDRÁULICA
20/01/1926,1.8,PLANTA HIDRÁULICA
21/01/1926,1.8,PLANTA HIDRÁULICA
22/01/1926,1.8,PLANTA HIDRÁULICA
23/01/1926,1.8,PLANTA HIDRÁULICA
24/01/1926,1.8,PLANTA HIDRÁULICA
25/01/1926,1.8,PLANTA HIDRÁULICA
26/01/1926,1.8,PLANTA HIDRÁULICA
27/01/1926,1.8,PLANTA HIDRÁULICA
28/01/1926,1.8,PLANTA HIDRÁULICA
29/01/1926,1.8,PLANTA HIDRÁULICA
30/01/1926,1.8,PLANTA HIDRÁULICA
31/01/1926,1.8,PLANTA HIDRÁULICA
1/02/1926,1.8,PLANTA HIDRÁULICA
2/02/1926,1.8,PLANTA HIDRÁULICA
3/02/1926,1.8,PLANTA HIDRÁULICA
4/02/1926,1.8,PLANTA HIDRÁULICA
5/02/1926,1.8,PLANTA HIDRÁULICA
6/02/1926,1.8,PLANTA HIDRÁULICA
7/02/1926,1.8,PLANTA HIDRÁULICA
8/02/1926,1.8,PLANTA HIDRÁULICA
9/02/1926,1.8,PLANTA HIDRÁULICA
10/02/1926,1.8,PLANTA HIDRÁULICA
11/02/1926,1.8,PLANTA HIDRÁULICA
12/02/1926,1.8,PLANTA HIDRÁULICA
13/02/1926,1.8,PLANTA HIDRÁULICA
14/02/1926,1.8,PLANTA HIDRÁULICA
15/02/1926,1.8,PLANTA HIDRÁULICA
16/02/1926,1.8,PLANTA HIDRÁULICA
17/02/1926,1.8,PLANTA HIDRÁULICA
18/02/1926,1.8,PLANTA HIDRÁULICA
19/02/1926,1.8,PLANTA HIDRÁULICA
20/02/1926,1.8,PLANTA HIDRÁULICA
21/02/1926,1.8,PLANTA HIDRÁULICA
22/02/1926,1.8,PLANTA HIDRÁULICA
23/02/1926,1.8,PLANTA HIDRÁULICA
24/02/1926,1.8,PLANTA HIDRÁULICA
25/02/1926,1.8,PLANTA HIDRÁULICA
26/02/1926,1.8,PLANTA HIDRÁULICA
27/02/1926,1.8,PLANTA HIDRÁULICA
28/02/1926,1.8,PLANTA HIDRÁULICA
1/03/1926,1.8,PLANTA HIDRÁULICA
2/03/1926,1.8,PLANTA HIDRÁULICA
3/03/1926,1.8,PLANTA HIDRÁULICA
4/03/1926,1.8,PLANTA HIDRÁULICA
5/03/1926,1.8,PLANTA HIDRÁULICA
6/03/1926,1.8,PLANTA HIDRÁULICA
7/03/1926,1.8,PLANTA HIDRÁULICA
8/03/1926,1.8,PLANTA HIDRÁULICA
9/03/1926,1.8,PLANTA HIDRÁULICA
10/03/1926,1.8,PLANTA HIDRÁULICA
11/03/1926,1.8,PLANTA HIDRÁULICA
12/03/1926,1.8,PLANTA HIDRÁULICA
13/03/1926,1.8,PLANTA HIDRÁULICA
14/03/1926,1.8,PLANTA HIDRÁULICA
15/03/1926,1.8,PLANTA HIDRÁULICA
16/03/1926,1.8,PLANTA HIDRÁULICA
17/03/1926,1.8,PLANTA HIDRÁULICA
18/03/1926,1.8,PLANTA HIDRÁULICA
19/03/1926,1.8,PLANTA HIDRÁULICA
20/03/1926,1.8,PLANTA HIDRÁULICA
21/03/1926,1.8,PLANTA HIDRÁULICA
22/03/1926,1.8,PLANTA HIDRÁULICA
23/03/1926,1.8,PLANTA HIDRÁULICA
24/03/1926,1.8,PLANTA HIDRÁULICA
25/03/1926,1.8,PLANTA HIDRÁULICA
26/03/1926,1.8,PLANTA HIDRÁULICA
27/03/1926,1.8,PLANTA HIDRÁULICA
28/03/1926,1.8,PLANTA HIDRÁULICA
29/03/1926,1.8,PLANTA HIDRÁULICA
30/03/1926,1.8,PLANTA HIDRÁULICA
31/03/1926,1.8,PLANTA HIDRÁULICA
1/04/1926,1.8,PLANTA HIDRÁULICA
2/04/1926,1.8,PLANTA HIDRÁULICA
3/04/1926,1.8,PLANTA HIDRÁULICA
4/04/1926,1.8,PLANTA HIDRÁULICA
5/04/1926,1.8,PLANTA HIDRÁULICA
6/04/1926,1.8,PLANTA HIDRÁULICA
7/04/1926,1.8,PLANTA HIDRÁULICA
8/04/1926,1.8,PLANTA HIDRÁULICA
9/04/1926,1.8,PLANTA HIDRÁULICA
10/04/1926,1.8,PLANTA HIDRÁULICA
11/04/1926,1.8,PLANTA HIDRÁULICA
12/04/1926,1.8,PLANTA HIDRÁULICA
13/04/1926,1.8,PLANTA HIDRÁULICA
14/04/1926,1.8,PLANTA HIDRÁULICA
15/04/1926,1.8,PLANTA HIDRÁULICA
16/04/1926,1.8,PLANTA HIDRÁULICA
17/04/1926,1.8,PLANTA HIDRÁULICA
18/04/1926,1.8,PLANTA HIDRÁULICA
19/04/1926,1.8,PLANTA HIDRÁULICA
20/04/1926,1.8,PLANTA HIDRÁULICA
21/04/1926,1.8,PLANTA HIDRÁULICA
22/04/1926,1.8,PLANTA HIDRÁULICA
23/04/1926,1.8,PLANTA HIDRÁULICA
24/04/1926,1.8,PLANTA HIDRÁULICA
25/04/1926,1.8,PLANTA HIDRÁULICA
26/04/1926,1.8,PLANTA HIDRÁULICA
27/04/1926,1.8,PLANTA HIDRÁULICA
28/04/1926,1.8,PLANTA HIDRÁULICA
29/04/1926,1.8,PLANTA HIDRÁULICA
30/04/1926,1.8,PLANTA HIDRÁULICA
1/05/1926,1.8,PLANTA HIDRÁULICA
2/05/1926,1.8,PLANTA HIDRÁULICA
3/05/1926,1.8,PLANTA HIDRÁULICA
4/05/1926,1.8,PLANTA HIDRÁULICA
5/05/1926,1.8,PLANTA HIDRÁULICA
6/05/1926,1.8,PLANTA HIDRÁULICA
7/05/1926,1.8,PLANTA HIDRÁULICA
8/05/1926,1.8,PLANTA HIDRÁULICA
9/05/1926,1.8,PLANTA HIDRÁULICA
10/05/1926,1.8,PLANTA HIDRÁULICA
11/05/1926,1.8,PLANTA HIDRÁULICA
12/05/1926,1.8,PLANTA HIDRÁULICA
13/05/1926,1.8,PLANTA HIDRÁULICA
14/05/1926,1.8,PLANTA HIDRÁULICA
15/05/1926,1.8,PLANTA HIDRÁULICA
16/05/1926,1.8,PLANTA HIDRÁULICA
17/05/1926,1.8,PLANTA HIDRÁULICA
18/05/1926,1.8,PLANTA HIDRÁULICA
19/05/1926,1.8,PLANTA HIDRÁULICA
20/05/1926,1.8,PLANTA HIDRÁULICA
21/05/1926,1.8,PLANTA HIDRÁULICA
22/05/1926,1.8,PLANTA HIDRÁULICA
23/05/1926,1.8,PLANTA HIDRÁULICA
24/05/1926,1.8,PLANTA HIDRÁULICA
25/05/1926,1.8,PLANTA HIDRÁULICA
26/05/1926,1.8,PLANTA HIDRÁULICA
27/05/1926,1.8,PLANTA HIDRÁULICA
28/05/1926,1.8,PLANTA HIDRÁULICA
29/05/1926,1.8,PLANTA HIDRÁULICA
30/05/1926,1.8,PLANTA HIDRÁULICA
31/05/1926,1.8,PLANTA HIDRÁULICA
1/06/1926,1.8,PLANTA HIDRÁULICA
2/06/1926,1.8,PLANTA HIDRÁULICA
3/06/1926,1.8,PLANTA HIDRÁULICA
4/06/1926,1.8,PLANTA HIDRÁULICA
5/06/1926,1.8,PLANTA HIDRÁULICA
6/06/1926,1.8,PLANTA HIDRÁULICA
7/06/1926,1.8,PLANTA HIDRÁULICA
8/06/1926,1.8,PLANTA HIDRÁULICA
9/06/1926,1.8,PLANTA HIDRÁULICA
10/06/1926,1.8,PLANTA HIDRÁULICA
11/06/1926,1.8,PLANTA HIDRÁULICA
12/06/1926,1.8,PLANTA HIDRÁULICA
13/06/1926,1.8,PLANTA HIDRÁULICA
14/06/1926,1.8,PLANTA HIDRÁULICA
15/06/1926,1.8,PLANTA HIDRÁULICA
16/06/1926,1.8,PLANTA HIDRÁULICA
17/06/1926,1.8,PLANTA HIDRÁULICA
